#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
1B|5Z497|32.742401|-100.525101|628.0|215497|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z500|32.743|-100.525299|630.3|215500|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z503|32.743599|-100.525497|630.2|215503|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z506|32.744202|-100.525597|634.2|215506|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z509|32.744801|-100.525803|635.5|215509|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z512|32.745399|-100.526001|633.4|215512|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z515|32.745998|-100.5261|633.0|215515|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z518|32.746498|-100.526299|634.0|215518|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z521|32.747101|-100.526497|631.6|215521|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z524|32.7477|-100.526604|630.6|215524|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z527|32.748299|-100.526802|631.9|215527|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z530|32.748901|-100.527|635.3|215530|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z533|32.7495|-100.5271|636.9|215533|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z536|32.750099|-100.527298|639.0|215536|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z539|32.750702|-100.527496|634.6|215539|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z542|32.751202|-100.527603|632.4|215542|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z545|32.751801|-100.527802|630.3|215545|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z548|32.752399|-100.528|622.1|215548|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z551|32.752998|-100.528198|628.8|215551|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z554|32.753601|-100.528297|625.3|215554|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z557|32.7542|-100.528503|625.6|215557|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z560|32.754799|-100.528702|623.7|215560|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z563|32.755402|-100.528801|624.8|215563|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z566|32.756001|-100.528999|623.3|215566|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z569|32.7565|-100.529198|621.4|215569|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z572|32.757099|-100.529297|620.4|215572|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z575|32.757702|-100.529503|619.5|215575|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z578|32.758301|-100.529701|619.8|215578|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z581|32.7589|-100.5298|618.6|215581|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z584|32.759499|-100.530098|617.1|215584|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z587|32.760101|-100.530197|617.6|215587|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z590|32.760601|-100.530296|615.2|215590|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z593|32.7612|-100.530502|616.8|215593|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z596|32.761799|-100.530701|618.4|215596|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z599|32.762402|-100.530899|616.5|215599|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z602|32.763|-100.530998|616.1|215602|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z605|32.763599|-100.531197|617.1|215605|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z608|32.764198|-100.531403|618.6|215608|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z611|32.764801|-100.531502|619.2|215611|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z614|32.7654|-100.5317|617.5|215614|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z617|32.7659|-100.531898|614.2|215617|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z620|32.766499|-100.531998|611.8|215620|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z623|32.767101|-100.532204|612.7|215623|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z626|32.7677|-100.532402|612.5|215626|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z629|32.768299|-100.5326|610.6|215629|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z632|32.768902|-100.5327|608.9|215632|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z635|32.769501|-100.532898|608.8|215635|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z638|32.7701|-100.532997|607.1|215638|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z641|32.770599|-100.533203|609.6|215641|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z644|32.771198|-100.533401|610.6|215644|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61395|32.7229|-100.517303|622.4|217395|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61401|32.724098|-100.517601|620.2|217401|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61404|32.724602|-100.517799|616.9|217404|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61407|32.725201|-100.517998|618.3|217407|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61410|32.7258|-100.518097|620.3|217410|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61413|32.726398|-100.518303|620.9|217413|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61416|32.727001|-100.518501|621.6|217416|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61419|32.7276|-100.5186|619.0|217419|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61422|32.728199|-100.518799|622.2|217422|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61425|32.728802|-100.518997|624.0|217425|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61428|32.729301|-100.519096|623.7|217428|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|61431|32.7299|-100.519302|619.7|217431|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
